backbone,benchmark,base,gaugesft,gaugevlm,gain_pp
Qwen2.5-VL-7B,MSMU distance,17.5,47.5,62.5,15.0
Qwen2.5-VL-7B,MSMU width,3.4,48.3,55.1,6.8
Qwen2.5-VL-7B,MSMU height,12.1,67.0,71.4,4.4
Qwen2.5-VL-7B,QSpatial+ delta2,42.6,45.5,64.4,18.9
Qwen2.5-VL-7B,SURDS distance,20.0,22.4,30.4,8.0
Qwen2.5-VL-7B,SURDS depth,22.3,24.3,35.7,11.4
Qwen2.5-VL-7B,SpatialRGPT quantitative,25.0,33.5,43.1,9.6
Qwen2.5-VL-7B,SpatialRGPT qualitative,70.0,74.7,81.6,6.9
Qwen2.5-VL-7B,3DSRBench accuracy,44.9,48.2,56.9,8.7
Qwen2.5-VL-7B,BLINK accuracy,49.5,50.5,56.7,6.2
GLM-4.1V-9B,MSMU distance,30.0,67.5,72.5,5.0
GLM-4.1V-9B,MSMU width,1.1,57.3,65.2,7.9
GLM-4.1V-9B,MSMU height,9.9,67.0,75.8,8.8
GLM-4.1V-9B,QSpatial+ delta2,43.6,49.5,58.4,8.9
GLM-4.1V-9B,SURDS distance,29.5,33.9,35.2,1.3
GLM-4.1V-9B,SURDS depth,26.4,29.1,31.3,2.2
GLM-4.1V-9B,SpatialRGPT quantitative,31.9,38.4,43.5,5.1
GLM-4.1V-9B,SpatialRGPT qualitative,71.2,68.8,78.7,9.9
GLM-4.1V-9B,3DSRBench accuracy,48.2,46.7,50.8,4.1
GLM-4.1V-9B,BLINK accuracy,51.0,56.2,58.2,2.0
Pixtral-12B,MSMU distance,10.0,50.0,52.5,2.5
Pixtral-12B,MSMU width,4.5,53.9,56.2,2.3
Pixtral-12B,MSMU height,4.4,69.2,75.8,6.6
Pixtral-12B,QSpatial+ delta2,8.9,7.9,11.9,4.0
Pixtral-12B,SURDS distance,21.3,22.0,28.5,6.5
Pixtral-12B,SURDS depth,15.8,18.8,23.7,4.9
Pixtral-12B,SpatialRGPT quantitative,27.6,18.0,28.0,10.0
Pixtral-12B,SpatialRGPT qualitative,64.8,60.0,67.0,7.0
Pixtral-12B,3DSRBench accuracy,44.0,43.5,48.0,4.5
Pixtral-12B,BLINK accuracy,37.2,37.0,42.6,5.6
